"1"|"2"|"978-987-21274-0-9"|"192 / Precio: $ ---.-"|NULL|"<p>A lo largo de toda la narrativa de Puig, los personajes buscan respuesta a sus interrogantes por la v&iacute;a del relato. Estos argumentos son el germen de futuros textos del autor, y al contrario de lo que sucede en un resumen no prescinden de los detalles. As&iacute;, la acumulaci&oacute;n de banalidades en \"P&aacute;jaros en la cabeza\" dibuja toda la trama de La traici&oacute;n de Rita Hayworth. <br />\"Las protagonistas de los melodramas son siempre mujeres muy buenas\", nos ense&ntilde;a Puig. Y aunque \"lo que origina el conflicto es alguna intervenci&oacute;n del destino\", es f&aacute;cil advertir que estas protagonistas, que son buenas pero no santas, responden a la fatalidad de su deseo. As&iacute; pasan por este libro Amanda, Serena, La Manuela, Molina, Perla, Frances y la cantante l&iacute;rica Claudia Muzio, transportadas por historias en las que la muerte aparece como destino y el melodrama como verdad.</p>"|"tapa_001.jpg"|"Un destino melodramático. Argumentos"|NULL|"5"|"4"|"grook.php"|NULL|NULL|NULL|"0"|"0"
"2"|"2"|"978-987-21274-8-4"|"224 / Precio: $ ---.-"|NULL|"<p>Incluye los siguientes guiones para cine y televisi&oacute;n: Muestras gratis de Hollywood Cosm&eacute;ticos, adaptaci&oacute;n para la televisi&oacute;n mexicana de un cap&iacute;tulo de La traici&oacute;n de Rita Hayworth; Los siete pecados tropicales, escrito para la actriz brasile&ntilde;a Sonia Braga y el productor norteamericano David Weisman, y Pubis angelical, en la versi&oacute;n original in&eacute;dita.</p>"|"tapa_002.jpg"|"Los siete pecados tropicales y otros guiones"|NULL|"5"|"4"|NULL|NULL|NULL|NULL|"0"|"0"
"3"|"10"|"978-987-21274-1-7"|"240 / Precio: $ ---.-"|NULL|"<p>Por primera vez en la literatura argentina, una novela explora sistem&aacute;ticamente los universos de la comunicaci&oacute;n electr&oacute;nica: e-mails, chats y videoconferencias son los veh&iacute;culos mediante los cuales las personas comunican sus anhelos y sus terrores en el mundo moderno. <em>La ansiedad</em> es una novela de amor con personajes faltos de amor, pero es tambi&eacute;n una investigaci&oacute;n sobre el modo en que la velocidad de la tecnolog&iacute;a marca los cuerpos y las conciencias.</p>"|"tapa_003.jpg"|"La ansiedad"|"Novela trash"|"8"|"9"|NULL|NULL|NULL|NULL|"0"|"0"
"4"|"12"|"978-987-21274-2-5"|"240 / Precio: $ ---.-"|"Edgardo Russo"|"<p><em>La protesta</em>, que se publica por primera vez en espa&ntilde;ol, es la &uacute;ltima novela de Henry James, posterior al ciclo integrado por <em>Las alas de la paloma</em>, <em>Los embajadores</em> y <em>La copa dorada</em>. Un &eacute;xito de ventas en su &eacute;poca, pero inhallable desde entonces y pr&aacute;cticamente desconocida, es una de sus obras m&aacute;s sorprendentes y divertidas. James explora el tema de los condicionamientos sociales y la elecci&oacute;n amorosa, la reputaci&oacute;n y el honor, el arte y la especulaci&oacute;n, retomando algunos de sus temas favoritos con un toque sutil y absolutamente magistral.</p>"|"tapa_004.jpg"|"La protesta"|NULL|"1"|"11"|NULL|NULL|NULL|NULL|"0"|"0"
"5"|"30"|"978-987-21274-3-3"|"448 / Precio: $.-"|"Silvio Mattoni"|"<p>La reflexi&oacute;n y la experiencia m&iacute;stica han sido infinitamente alimentadas por una discusi&oacute;n que traspasa cada tanto el marco estricto de la teolog&iacute;a, apasionando a fil&oacute;sofos, antrop&oacute;logos y literatos: el amor despojado de toda perspectiva de recompensa, e incluso el amor como \"la aceptaci&oacute;n del infierno por la gloria de Dios\", &iquest;es o no posible? &iquest;Se trata de un amor impensable?<br />Jacques Le Brun demuestra que este enfrentamiento, c&eacute;lebremente encarnado en el siglo XVII en dos personajes tan notables como Bossuet y Fenelon, proviene de tiempos primitivos, hundiendo sus ra&iacute;ces en la Antig&uuml;edad griega. Desde la oposici&oacute;n eros-agape en ciertas p&aacute;ginas de Plat&oacute;n, a la noche oscura del alma, despojada de toda afectividad, \"reseca\", en San Juan de la Cruz (quien porta el fino emblema de \"el amor puro\") pasando por la obstinaci&oacute;n del sufrimiento, es decir, por la disociaci&oacute;n entre el amor y la posesi&oacute;n carnal que caracterizan la obra de Sacher-Masoch, Le Brun detecta la marca de esa obsesionante pol&eacute;mica y examina la extensi&oacute;n de sus ramas hacia los sistemas de Kant, Freud y el mismo Lacan.</p>"|"tapa_005.jpg"|"El amor puro. De Platón a Lacan "|"(2ª edición)"|"2"|"7"|NULL|NULL|NULL|"Ediciones Literales"|"0"|"0"
"6"|"1"|"978-987-9432-01-0"|"216 / Precio: $ 310.-"|"Mariano Serrichio"|"<p>&ldquo;Mi trabajo no tiene nada que ver con la liberaci&oacute;n gay&rdquo;, habr&iacute;a dicho Michel Foucault a un admirador en 1975. Pero entonces, &iquest;por qu&eacute; Foucault, que muri&oacute; de sida en 1984, se convirti&oacute; en el referente de toda una generaci&oacute;n entera de militantes gays? San Foucault da cuenta de las razones por la que los <em>straights</em> encuentran tan a menudo en Foucault conclusiones desesperantes en materia de pol&iacute;tica, mientras que los militantes gays ven en &eacute;l una fuente de inspiraci&oacute;n, pero tambi&eacute;n un ejemplo de resistencia pol&iacute;tica.</p><p>David Halperin, forma parte del grupo de investigadores que constituyen los <em>gays and lesbian studies</em>, ya se han convertido en cl&aacute;sicos. Emergencia en este campo de una nueva relaci&oacute;n al erotismo, que se adelant&oacute; all&iacute; donde el psicoan&aacute;lisis hab&iacute;a dejado de ser cuestionador e inventivo. Abandonada por los psicoanalistas, la problematizaci&oacute;n del erotismo contempor&aacute;neo tuvo lugar fuera del campo freudiano. No sin lazos de todos modos con Freud, Lacan, Foucault, Deleuze, Derrida y otros.</p><p><br /><br /></p>"|"tapa_6.jpg"|"San Foucault"|"Para una hagiografía gay"|"2"|"0"|NULL|NULL|NULL|"Ediciones Literales"|"310"|"46"
"7"|"3"|"978-987-21274-5-1"|"256 / Precio: $ ---.-"|NULL|"<p><strong><em>La purga</em> </strong>es una de las novelas m&aacute;s originales y divertidas de Juan Filloy, y al mismo tiempo una de sus obras m&aacute;s secretas. Escrita en 1977, un a&ntilde;o despu&eacute;s del Golpe militar, la trama se centra en un Congreso internacional de pintura (la Ortho World Painting Conference), organizado por un Tirano omnipotente con la intenci&oacute;n de aniquilar a los representantes del Arte Moderno y retrotraer la pintura a los c&aacute;nones del Renacimiento. Desopilante y erudita, jugando con la ciencia-ficci&oacute;n y la literatura fant&aacute;stica, <em>La purga</em> hace un registro exhaustivo de las est&eacute;ticas de vanguardia (incluyendo sus delirios), y al mismo tiempo denuncia un Autoritarismo supuestamente ilustrado que deriva en Crimen y Holocausto.</p>"|"tapa_007.jpg"|"La Purga"|"(2ª edición)"|"6"|"0"|NULL|NULL|NULL|NULL|"0"|"0"
"8"|"4"|"978-987-21274-4-1"|"256 / Precio: $ 310.-"|"Inés Pardal"|"<p><strong>Incluye los siguientes relatos:</strong> &ldquo;La sombra en el rosedal&rdquo;, &ldquo;El sustituto&rdquo;, &ldquo;Boletos, por favor&rdquo;, &ldquo;Inglaterra, mi Inglaterra&rdquo;, &ldquo;Jimmy y la mujer desesperada&rdquo;, &ldquo;Bajo el mismo techo&rdquo;, &ldquo;Sol&rdquo;, &ldquo;El amor entre las parvas&rdquo;, &ldquo;Una vez&rdquo;, &ldquo;El viejo Ad&aacute;n&rdquo; y &ldquo;Bruja <em>a la mode</em>&rdquo;. Se incluye adem&aacute;s el estudio preliminar de In&eacute;s Pardal, &ldquo;El primer escritor postvictoriano&rdquo;.</p><p><br />&rdquo;Mi gran religi&oacute;n es una creencia en que la sangre, la carne, son m&aacute;s sabias que el intelecto. Nuestra mente puede equivocarse. Pero lo que la sangre siente, cree y dice, es siempre verdad. El intelecto es un freno y una rienda. &iquest;Qu&eacute; me importa la ciencia? Todo lo que quiero es responder a mi sangre directamente, sin fr&iacute;volas intervenciones de la raz&oacute;n, o la moral. Yo concibo el cuerpo de un hombre como una llama, como la llama de una l&aacute;mpara, siempre vertical, siempre fluyente, y la inteligencia es s&oacute;lo la luz esparcida sobre las cosas que la rodean. No estoy interesado en las cosas que me rodean, sino en el misterio de la llama siempre ardiente, llegando de ninguna parte, mateni&eacute;ndose ella misma en s&iacute;, frente a cualquier cosa que alumbre.&rdquo;<br /><strong>De una carta de Lawrence a Ernest Collings, 1913.</strong></p>"|"tapa_08.jpg"|"Inglaterra, mi Inglaterra y otras historias de amor"|NULL|"1"|"0"|NULL|NULL|NULL|NULL|"310"|"50"
"9"|"5"|"978-987-21274-6-8"|"128 / Precio: $ 360.-"|NULL|"<p><em>La flor de lis</em> es el &uacute;ltimo libro de Marosa di Giorgio. Publicado por El cuenco de plata apenas dos meses antes de su muerte, es la coronaci&oacute;n de su obra, y en cierta manera cierra el ciclo tanto de sus relatos er&oacute;ticos como de la l&iacute;rica exaltada de Los papeles salvajes. La presente edici&oacute;n incluye el CD de su recital <em>Diadema</em>, que rescata otra faceta ineludible de la gran escritora.</p><p>Sensual hasta la exasperaci&oacute;n, disparada por una conciencia que parece hecha de una memoria at&aacute;vica y una imaginaci&oacute;n que deja en suspenso los juicios morales, la escritura de Marosa parece disolver la insalvable distancia entre las palabras y las cosas. <br /><strong>Guillermo Saavedra, <em>La Naci&oacute;n </em></strong></p><p><br />Su estilo es muy peculiar; se lo reconoce a la lectura de una l&iacute;nea cualquiera, y no se parece a nadie.<br /><strong>C&eacute;sar Aira, <em>Diccionario de autores latinoamericanos</em></strong></p>"|"tapa_009.jpg"|"La flor de lis "|"Incluye el CD "|"5"|"0"|NULL|"1"|NULL|NULL|"360"|"98"
"10"|"6"|"987-21274-7-6"|"128 / Precio: $ 230.-"|"José Amícola"|"<p>\"Los desdoblamientos de personas, las m&aacute;scaras, los desfiles de un campo a otro, hacen de la obra de Sacher-Masoch un ballet extraordinario que gira en torno a la decepci&oacute;n.\" <br /><strong>Gilles Deleuze </strong><br /><br />Perteneciente al ciclo de novelas agrupadas bajo el nombre de <em>El legado de Ca&iacute;n</em>, en el cual Sacher-Masoch se propon&iacute;a abordar diferentes aspectos de la historia natural de la humanidad a trav&eacute;s de una serie de relatos, <em>El amor de Plat&oacute;n </em>constituye, en cierta medida, la contracara de la c&eacute;lebre <em>La venus de las pieles</em>, que integra el mismo ciclo. Si <em>La venus de las pieles </em>describe la \"perversi&oacute;n materialista\" del amor, en <em>El amor de Plat&oacute;n </em>la atenci&oacute;n se centra en su opuesto: la \"perversi&oacute;n idealista\" de un amor concebido como la ausencia de todo contacto carnal. A trav&eacute;s de las cartas que el joven conde Henryk le escribe a su madre, el lector asiste al relato de una peculiar iniciaci&oacute;n amorosa en la que la ascensi&oacute;n plat&oacute;nica al Ideal es tambi&eacute;n el descenso a la ambig&uuml;edad del deseo.</p>"|"tapa_10.jpg"|"El amor de Platón"|NULL|"1"|"0"|NULL|NULL|NULL|NULL|"230"|"9"
